Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",31,"3rd Main, Shetty Halli, Jalahalli West, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2738,2069,3621
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",32,"Manjunath Nagar Main Road, Vijayalakshmi Layout, Manjunatha Nagar, Bagalakunte, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2617,1747,3919
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",33,"0 1st Cross Road, Kalahasti Nagar, Prashanth Nagar, T. Dasarahalli, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2320,1577,3411
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",34,"Andrahalli Main Road, Vidya Nagar, Peenya, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2368,1582,3543
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",35,"400 12th Cross Road, Peenya Industrial Area Phase IV, Peenya, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2629,1955,3534
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",36,"2nd Main Road, Rajagopala Nagar, Peenya, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2615,1717,3982
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",37,"6th Cross Road, Lakshman Nagar, State Bank of India Colony, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2516,1752,3611
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",38,"Sai Residency, Sannakki Bayalu, Vrishabha Nagar, Kamaksipalya, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2090,1408,3100
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",39,"0 5th Cross Road, Panchadeep Colony, Nandini Layout, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2210,1589,3073
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",40,"500 9th Cross, APMC Yard, Yeshwanthpur Industrial Suburb, Mahalakshmi Layout, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1664,1169,2368
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",41,"Samartha Infosolutions, 3rd Main Road, West of Chord Road 2nd Stage, Nagapura, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1803,1311,2479
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",42,"0 8th Cross Road, Satyanarayana Layout, Maruthi Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1959,1410,2721
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",43,"Olety Heritage, 15th Main Road, Maruthi Nagar, Basaweshwara Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2059,1459,2903
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",44,"100 18th Main Road, JC Nagar, Kurubarahalli, Basaweshwara Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2025,1424,2878
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",45,"94, RMV 2nd Stage, Ashwath Nagar, Armane Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1100,695,1738
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",46,"500 MD Rajsikhar Road, Gokula Extension, Mathikere Extension, Mathikere, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1866,1289,2700
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",47,"18, Malleshwaram West, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1484,1025,2146
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",48,"0 DB Street, M V Block, Guttahalli, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",930,574,1504
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",49,"49, Malleshwaram West, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1259,841,1883
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",50,"2500 1st Main Road, E block, 2nd Stage, Rajaji Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1606,1138,2265
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",51,"0 2nd Cross Road, Srirampura, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1373,946,1992
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",52,"400 8th Cross Road, RMV 2nd Stage, Dollars Colony, R.M.V. 2nd Stage, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1701,1190,2430
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",53,"0 6th B Cross Road, RMV, Stage 2, Sanjaynagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1713,1217,2410
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",54,"Unnamed Road, Sanjaynagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1342,860,2092
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",55,"Siroya Environ, Chola Nagar, Anandnagar, Hebbal, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1342,865,2080
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",56,"Bhuwana Siri Apartments, 10th A Cross Road, Kanaka Nagar, Hebbal, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1828,1297,2575
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",57,"557, Dinnur, Hebbal, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1524,1073,2163
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",58,"Mandenda Nilayam, 5th Main Road, Ganga Nagar Extension, Ganga Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1223,784,1906
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",59,"300 14th Cross Road, 2nd Block, RT Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1267,886,1810
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",60,"400 Masjid Road, Kushal Nagar, Kadugondanahalli, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1585,1090,2303
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",61,"1085, Shampura, Kaval Bairasandra, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1652,1163,2345
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",62,"null4th Cross Road, Modi Garden, Kaval Bairasandra, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1365,955,1949
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",63,"100 3rd Cross Road, Dubai Layout, Amar layout, Kaval Bairasandra, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1558,1102,2201
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",64,"0 Davis Road, Sagayapura, Richards Town, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1109,780,1574
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",65,"Masjid e Taqwa, S K Garden, Wahid Garden, Benson Town, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1243,870,1775
