Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",113,"Colorado, Rajaji Nagar Industrial Town, Rajaji Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1557,1077,2249
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",114,"0 16th Main Road, CHBS Layout, Stage 2, Vijaya Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1777,1263,2498
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",115,"200 6th Cross Road, Govindaraja Nagar Ward, GKW Layout, Vijaya Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1769,1241,2520
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",116,"0 Manjunatha Talkies Road, Sanjivini Nagara, Govindarajanagar, Vijaya Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2045,1460,2864
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",117,"1600 14th Cross Road, Nagarbhavi 1st Stage, BDA Lay Out, Chandra Layout, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1725,1224,2430
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",118,"0 Nayandahalli Main Road, Vinayaka Extension, Nayanda Halli, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1621,1136,2311
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",119,"0 5th Main Road, Kempapura Agrahara, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1423,964,2099
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",120,"1100 2nd Main Road, Hoshalli Extension, Stage 1, Vijaya Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1572,1105,2235
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",121,"2300 9th Cross Road, Hampi Nagar, Stage 1, Vijaya Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1517,1074,2141
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",122,"0 2nd Cross Road, Basaveshawara HBCS Layout 2nd Stage, Chandra Layout, Attiguppe, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1565,1078,2271
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",123,"400 4th Cross Road, Vijaya Nagar II Stage, Vijaya Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1341,917,1959
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",124,"0 F Street, New Guddadahalli, Bapuji Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1112,742,1664
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",125,"0 4th Cross Road, Telecom Colony, Srinagar, Banashankari, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1164,775,1747
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",126,"300 Mysore Road, Muthachari Industrial Estate, Deepanjali Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1407,950,2081
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",127,"0 11th C Cross Road, Vinayaka Nagar, Padarayana Pura, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1298,921,1828
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",128,"0 1st Main Road, Devaraj URS Nagar, Padarayana Pura, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",982,655,1471
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",129,"0 Chowdappa Road, Cobaley Colony, Azad Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1159,736,1823
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",130,"100 5th Cross Road, Anjanappa Gardens, Cottonpete, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1130,713,1789
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",131,"0 2nd Main Road, New Tharagupet, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",806,511,1269
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",132,"100 7th Cross Road, Chamrajpet, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",921,606,1399
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",133,"165, Vittal Nagar, Kasthuriba Nagar, Azad Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1021,681,1528
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",134,"3rd Cross Road, Sampangi Rama Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",539,305,952
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",135,"59, Kalasipalyam New Extension, Kalasipalya, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",586,347,987
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",136,"Vaibhav Apartments, Gandhi Bazaar Main Road, Gandhi Bazaar, Basavanagudi, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1240,872,1762
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",137,"0 KP Ramaiya Road, Upparahalli, Mavalli, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",874,579,1317
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",138,"Raja Niwas, 7th Cross Road, Arekempanahalli, Mavalli, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",921,615,1378
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",139,"0 16th Cross Road, Lakkasandra Extension, Wilson Garden, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",660,422,1029
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",140,"Nimhans Campus Road, RBI Extension, Hombegowda Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1067,736,1546
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",141,"Ueda Priya House, Tara Subba Rao Road, Gavipura, Kempegowda Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1454,1033,2045
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",142,"12, Srinagar, Banashankari, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1563,1119,2183
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",143,"0 Subbarama Chetty Road, NR Colony, Basavanagudi, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1257,882,1790
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",144,"Mandhara Niwas, 1st phase Girinagar, Banashankari Stage I, Banashankari, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1785,1294,2461
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",145,"0 1st Cross Road, 4th Block, Banashankari 3rd Stage, Banashankari, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1778,1264,2499
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",146,"6th Cross Road, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1525,1067,2178
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",147,"Sushma Nilayam, 6th Main Road, Hrushikesh Nagar, Dattatreya Nagar, Hosakerehalli, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1972,1390,2797
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",148,"BDA Shopping Complex, 24th Cross Road, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1744,1248,2435
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",149,"300 6th Cross Road, 1st Block, 7th Block, Jayanagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1556,1093,2214
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",150,"30/2, Sakamma Garden, Jayanagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1239,876,1751
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",151,"200 4th Cross Road, Umarbagh Layout, Banashankari, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1896,1342,2678
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",152,"1700 Vyasaraya Ballal Road, Kumaraswamy Layout I Stage, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2070,1490,2874
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",153,"100 2nd Main Road, Rajathadri Kalayana Mantappa, Padmanabhanagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2069,1476,2898
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",154,"0 9th Cross Road, Rangadasapp Layout, Pukhraj Layout, Adugodi, Ad","3/1/2019 - 3/31/2019, Every day, Daily Average",751,489,1151
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",155,"900 Adugodi Main Road, Audugodi Police Quarters, Adugodi, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",716,472,1085
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",156,"26, Gowda Muniswamy Garden, Ejipura, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",862,529,1402
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",157,"Prem Complex, Koramangala 3 Block, Koramangala, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1112,747,1653
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",158,"0 3rd Main Road, Bharathi Layout, Venkateshwara Layout, Suddagunte Palya, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1084,721,1628
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",159,"0 34th Main Road, 1st Phase, JP Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1840,1280,2644
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",160,"0 8th Cross Road, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1471,989,2185
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",161,"1100 16th Main Road, MCHS Colony, Stage 2, BTM 2nd Stage, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1518,1011,2277
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",162,"Raghva Niwas, 38th Cross Road, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1443,1022,2036
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",163,"100 16 A Main Road, Canara Bank Colony, Jayanagar 3rd Block East, Jayanagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1299,927,1819
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",164,"725-44, TMC Layout, 1st Phase, JP Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1645,1160,2332
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",165,"State Highway 35, Devasthanagalu, Gunjur Village, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2129,1444,3137
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",166,"Bellandur - Doddakannelli Road, Adarsh Palm Retreat, Bellandur, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1877,1159,3037
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",167,"300 5B Road, Shivaji Nagar, Basavanna Nagar, Whitefield, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2694,1905,3809
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",168,"Patalamma Layout, V S Reddy Colony, Kadugodi, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",3223,2308,4500
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",169,"M4, Phase 1, Whitefield, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2907,1993,4239
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",170,"Shriram Spurthi, Road, Sri Nivasa Reddy Layout, AECS Layout, Brookefield, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2130,1472,3080
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",171,"2200 15th B Cross Road, Vanganahalli, 1st Sector, HSR Layout, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1821,1239,2675
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",172,"200 4th A Main Road, Roopena Agrahara, Bommanahalli, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1937,1267,2958
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",173,"Raj Kumar Statue Road, Jarganahalli, JP Nagar Phase 6, JP Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2040,1425,2919
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",174,"0 5th Cross Road, 5th Phase, T Muniyappa Layout, Sahyadri Layout, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2043,1398,2984
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",175,"100 Devarachikkanahalli Road, Shanbogh Naggappa Layout, Vijaya Bank Layout, Bilekahalli, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1742,1161,2613
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",176,"0 2nd Cross Road, Hongasandra, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1865,1243,2796
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",177,"100 11th Main Road, Hosapalaya, Muneshwara Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1964,1336,2886
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",178,"Unnamed Road, Sai Meadows, Parappana Agrahara, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2103,1452,3043
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",179,"100 Hulimavu Lake Road, Krishna Layout, Hulimavu, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2326,1560,3466
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",180,"4th Cross Road, Jayanagar housing society layout, Subramanyapura, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2435,1776,3338
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",181,"300 9th Cross Road, Prathiba Industrial Estate, Kumaraswamy Layout, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2147,1497,3077
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",182,"469/2, Begur, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2272,1573,3280
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",183,"1st G Cross, Royal Lake Front Phase1 and 2, Gottigere, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2571,1668,3960
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",184,"0 1st Main Road, Sheryas Colony, 8th Phase, JP Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2466,1743,3488
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",185,"Anjanapura 80 Feet Road, Anjanapura Village, Anjanapura Township, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2767,1923,3979
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",186,"NITTE Meenakshi College Road, BSF Campus, Yelahanka, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1794,1243,2587
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",187,"0 Kithaganur Main Road, Thambu Chetty Palya, Battarahalli, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2019,1435,2839
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",188,"300 8th A Cross Road, Health Layout, Chandrashekhara Layout, Annapurneshwari Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1922,1351,2733
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",189,"400 East End Main Road, Corporation Colony, Jayanagara 9th Block, Jayanagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1293,869,1923
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",190,"0 F Cross Road, Krishnappa Garden, 1st Stage, BTM Layout, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1212,803,1829
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",191,"500 1st Main Road, Bhuvaneshwari Nagar, Banashankari, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1987,1411,2796
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",192,"0 1st Main Road, Kuvempu Nagar, Konanakunte, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2326,1660,3259
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",193,"100 4th Cross Road, 3rd Phase, JP Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1599,1087,2351
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",194,"0 1st B Cross Road, Cashier Layout, 1st Stage, BTM Layout, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1604,1059,2427
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",195,"Kalkere-Agara Main Road, Horamavu Agara, Kalkere, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2148,1561,2954
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",196,"0 Horamavu Agara Main Road, 1st Block, Mallappa Layout, Prakruthi Township, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1997,1401,2844
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",197,"0 3rd Cross Road, Manjunatha Layout, Marathahalli Village, Marathahalli, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1723,1224,2423
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",198,"BGS Road, Kodipalya, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2094,1415,3097
